"name","district_id"
"Masumbankhunda","13"
"Mazengera","13"
"M'bang'mbe","13"
"Mtemba","13"
"Njewa","13"
"Tsabango","13"
"Chauma","14"
"Chilikumwendo","14"
"Kachere","14"
"Kachindamoto","14"
"Kamenya Gwaza","14"
"Kaphuka","14"
"Kasumbu","14"
"Pemba","14"
"Tambala","14"
"Chakhumbira","15"
"Champiti","15"
"Goodson Ganya","15"
"Kwataine","15"
"Makwangwala","15"
"Masasa","15"
"Mpando","15"
"Njolomole","15"
"Phambala","15"
"Tsikulamowa","15"
"Bwananyambi","16"
"Chilipa","16"
"Chimwala","16"
"Chowe","16"
"Jalasi","16"
"Katuli","16"
"Lulanga","16"
"Makanjira","16"
"Bwananyambi","16"
"Mponda","16"
"Namabvi","16"
"Nankumba","16"
"Ntonda","16"
"Amidu","17"
"Chanthunya","17"
"Kachenga","17"
"Kalembo","17"
"Matola","17"
"Nkaya","17"
"Nsamala","17"
"Phalula","17"
"Sawali","17"
"Toleza","17"
"Chamba","18"
"Chikweo","18"
"Chiwalo","18"
"Kapoloma","18"
"Kawingas","18"
"Mchinguza","18"
"Mlomba","18"
"Mposa","18"
"Ngokwe","18"
"Nkoola","18"
"Nkula","18"
"Nsanama","18"
"Nyambi","18"
"Sale","18"
"Sitola","18"
"Chikowi","19"
"Kuntumanje","19"
"Malemia","19"
"Mbiza","19"
"Mkumbira","19"
"Mlumbe","19"
"Mulumbe","19"
"Mwambo","19"
"Ngwelero","19"
"Nkangula","19"
"Ntholowa","19"
"Chitera","20"
"Kadewere","20"
"Likoswe","20"
"Maoni","20"
"Mchema","20"
"Mpama","20"
"Mpunga","20"
"Nkalo","20"
"Ntchema","20"
"Onga","20"
"Sadrack","20"
"Chigaru","21"
"Kapeni","21"
"Kuntaja","21"
"Kunthembwe","21"
"Lundu","21"
"Machinjiri","21"
"Makata","21"
"Somba","21"
"Govati","22"
"Kanduku","22"
"Nthache","22"
"Chekucheku","23"
"Dambe","23"
"Mlauli","23"
"Ngozi","23"
"Symon","23"
"Boyidi","24"
"Bvumbwe","24"
"Changata","24"
"Chimaliro","24"
"Kapichi","24"
"Khwethemule","24"
"Maggie","24"
"Mbawera","24"
"Mphuka","24"
"Nanseta","24"
"Nchilamwera","24"
"Nsabwe","24"
"Thomasi","24"
"Thukuta","24"
"Chiwalo","25"
"Jenala","25"
"Kaduya","25"
"Mkhulambe","25"
"Mkhumba","25"
"Nazombe","25"
"Chikumbu","26"
"Juma","26"
"Laston Njema","26"
"Mabuka","26"
"Mthiramanja","26"
"Njema","26"
"Nkanda","26"
"Chapananga","27"
"Kasisi","27"
"Katunga","27"
"Lundu","27"
"Makhuwira","27"
"Masache","27"
"Maseya","27"
"Mlilima","27"
"Ndakwera","27"
"Ngabu","27"
"Ngowe","27"
"Chimombo","28"
"Makoko","28"
"Malemia","28"
"Mbenje","28"
"Mlolo","28"
"Ndamera","28"
"Ngabu","28"
"Nyachikadza","28"
"Tengani","28"
"Ernemizere","25"
"Machemba","25"
"Mpasa","25"
"Machemba","25"
"Edingeni","6"
"Liwonde","18"
"Nkula","21"
"Nyungwe","2"
"Sukasanje","25"
"Nkula","21"
"Ngabu","28"
"Kalumba","13"
"Dzoole","10"
"Mganga","4"
"Movete","6"
"Kapile","17"
"Mwanjabala","2"
"Kapyokolo","6"
"Dambe","22"
